Summary,Issue Type,Labels,Description
Multiple Backend Validation and File Upload Security Issues in Policy Management API,Bug,Security,"h2. Multiple Backend Validation and File Upload Security Issues in Policy Management API

*Affected Endpoint:*
{{/api/v1/admin/policy-cases}}

*Severity:* High
*Priority:* Critical
*CVSS Score:* 8.0
*Vector:* CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:L

----

h2. Description

Multiple security and data integrity issues were identified in the policy management API endpoint {{/api/v1/admin/policy-cases}}. The backend does not enforce critical business rules, input validation, and file upload restrictions, instead relying primarily on frontend controls.

As a result, invalid, logically inconsistent, and potentially malicious inputs can be successfully processed and persisted, leading to incorrect policy configurations, financial anomalies, and arbitrary file uploads.

These issues collectively indicate insufficient server-side validation and insecure handling of sensitive policy-related data.

----

h2. Findings

h3. 1. Invalid Policy Date Logic Accepted by Backend

The backend allows the policy *start date to be set after the maturity date* (e.g., start date in 2026 with maturity date in 2025).
Such logically invalid policies are created successfully and accessible from the admin panel.

*Expected behavior:*
Start date must always be *earlier than* maturity date.

----

h3. 2. Negative Premium Amount Accepted

The backend allows *negative values for policy premium amounts*, effectively representing a scenario where the insurance provider pays a monthly amount to the policyholder.

At the same time, the *sum assured value remains positive*, creating a financially impossible and exploitable policy configuration.

*Expected behavior:*
Premium amount must be a *positive, bounded numeric value* aligned with policy rules.

----

h3. 3. Waiting Period Can Be Set to Zero

The backend allows the waiting period to be set to {{0}}, bypassing intended policy constraints and business logic.

*Expected behavior:*
Waiting period should enforce a *minimum positive value* as defined by policy requirements.

----

h3. 4. Invalid Term Period Accepted

The backend allows the policy *term period to be set to negative values (e.g., -1)* without validation.

*Expected behavior:*
Term period must be a *positive integer* within defined limits.

----

h3. 5. Arbitrary File Upload via Backend Manipulation

Although frontend restricts file uploads to document types (e.g., PDF), backend validation can be bypassed.

An attacker can:

* Upload a malicious ZIP file renamed to {{.pdf}}
* Intercept the request mid-way
* Modify the filename back to {{.zip}}
* Proceed with the request

The backend accepts the modified file and completes the upload successfully.

*Impact:*
Arbitrary file upload through backend API manipulation.

----

h2. Impact

* *Policy Integrity Compromise:*
Invalid policy configurations undermine business logic and trust in the system.
* *Financial Risk:*
Negative premiums and inconsistent values may result in financial exploitation or reporting errors.
* *Arbitrary File Upload Risk:*
Uploaded malicious files may lead to stored XSS, malware distribution, or backend processing risks.
* *Compliance and Audit Exposure:*
Insurance systems require strict data validation; these gaps are audit-sensitive.
* *Expanded Attack Surface:*
Backend acceptance of malformed input enables chaining with other vulnerabilities.

----

h2. Root Cause

* Lack of strict server-side business rule enforcement.
* Reliance on frontend-only validations.
* Absence of backend file type and content validation.
* Missing normalization and bounds checking for numeric and date fields.

----

h2. Solution

* Enforce all business rules *strictly at the backend*, including:
** Start date < maturity date
** Positive and bounded premium values
** Minimum waiting period
** Valid positive term periods
* Implement robust server-side file upload controls:
** Whitelist-based file extension validation
** MIME type verification
** File content inspection
** File size limits
* Reject requests that violate validation rules and prevent partial data persistence.
* Treat frontend validation strictly as a UX control, not a security mechanism.

----

h2. CWE-ID

* *CWE-20:* Improper Input Validation
* *CWE-434:* Unrestricted File Upload
* *CWE-840:* Business Logic Errors

----

h2. OWASP Top 10 (Web 2025)

* *A01 – Broken Access Control*
* *A04 – Insecure Design*

----

h3. One-Line Summary (For Tracking)

{quote}{{/api/v1/admin/policy-cases}} lacks backend validation for critical policy fields and file uploads, allowing invalid policy creation and arbitrary file upload via API manipulation.{quote}"
Improper Error Handling,Bug,Security,"h2. Improper Error Handling

*Severity:* Medium
*Priority:* High
*CVSS Score:* 5.9
*Vector:* CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N

----

h2. Description

It was observed that the application exposes *raw backend database error messages* when updating partner details via the API endpoint:

{noformat}PATCH /api/v1/partners/par_<id>
{noformat}

When a duplicate value is provided for unique fields such as {{name}} or {{email}}, the API responds with an unhandled database error message:

{noformat}duplicate key value violates unique constraint ""IDX_7426aead5621f30cfbde523884""
{noformat}

This error message is returned directly to the client without sanitization or abstraction. Exposing such low-level error details reveals internal database schema information, including constraint identifiers and implementation details, which should not be disclosed to API consumers.

----

h2. Impact

* *Internal Information Disclosure:*
Reveals database constraint names and internal schema structure, aiding attackers during reconnaissance.
* *Entity Enumeration:*
Attackers can infer whether a partner name or email already exists based on error responses.
* *Weakened API Abstraction:*
Direct propagation of database errors breaks expected API contracts and increases the risk of chained attacks.
* *Audit and Compliance Risk:*
Exposing internal error details is generally flagged during security reviews and compliance audits.

----

h2. Steps to Reproduce

# Send a {{PATCH}} request to:
{noformat}/api/v1/partners/par_<id>
{noformat}
# Provide a {{name}} or {{email}} value that already exists for another partner.
# Observe that the API responds with a raw database error containing internal constraint details.

----

h2. Root Cause

* Database-level exceptions are not properly handled at the application layer.
* Absence of centralized error handling or exception mapping.
* Lack of sanitization before returning error messages to clients.

----

h2. Solution

* Implement centralized exception handling for database and ORM errors.
* Catch unique constraint violations and return a sanitized, business-level error response, such as:
{noformat}{
  ""statusCode"": 409,
  ""message"": ""Partner with the provided name or email already exists.""
}
{noformat}
* Ensure no internal identifiers, constraint names, or stack-level details are exposed in API responses.
* Standardize error responses across all endpoints.

----

h2. CWE-ID

* *CWE-209:* Information Exposure Through an Error Message
* *CWE-755:* Improper Handling of Exceptional Conditions

----

h2. OWASP Top 10 (Web 2025)

* *A04 – Insecure Design*
Improper error handling reflects insufficient defensive design and allows leakage of internal system details."
Security & Data Validation Issues in /api/v1/partners,Bug,Security,"h3. 1. Missing Backend Validation for Payout Percentage

* Backend accepts arbitrary numeric values for payout percentage.
* Values outside logical bounds (e.g., {{<1}} or {{>100}}) are processed successfully.
* This can result in invalid financial configurations.

*Expected behavior:*
Backend must strictly enforce percentage values between *1–100*.

----

h3. 2. File Upload Type Validation Can Be Bypassed

* Frontend restricts document types (e.g., {{.pdf}}).
* Backend accepts files based on request data without enforcing file type validation.
* A malicious ZIP file can be uploaded by:
** Renaming it to {{.pdf}}
** Intercepting the request
** Modifying the filename back to {{.zip}} before it reaches the server

*Impact:* Arbitrary file upload via backend API.

----

h3. 3. No File Size Enforcement or Error Handling

* Large files can be uploaded without any validation.
* Frontend silently fails with no error.
* Backend proceeds to create the partner entity *without attaching the document*, resulting in inconsistent state.

*Expected behavior:*

* Explicit file size limits
* Clear rejection and error handling on both FE and BE

----

h3. 4. Invalid Dates Cause Transaction Errors but Data Is Still Persisted

* Submitting invalid date values directly to the backend results in the error:
{{""Transaction is not started yet, start transaction before committing or rolling it back.""}}
* Despite the error:
** Partner record is created in the database
** Entity is accessible from the admin panel
** Date fields appear as {{""N/A""}}

*Impact:*

* Broken transactional integrity
* Partial failures result in persisted invalid state

----

h3. 5. Backend Does Not Enforce Limits on {{allowedUsers}}

* Frontend restricts {{allowedUsers}} to a maximum of 4 digits.
* Backend accepts arbitrarily large values when called directly.
* Leads to inconsistent validation and potential performance or logic issues.

----

h2. Root Cause (Unifying All Issues)

{quote}Backend APIs rely on frontend validation and do not enforce strict server-side controls for:

* Numeric bounds
* File type and size
* Transaction atomicity
* Business rule constraints{quote}

This is the *key sentence* that justifies a single ticket.

----

h2. Recommended Remediation (Grouped, Not Repetitive)

* Enforce *all business and security validations at the backend*
* Implement strict:
** Numeric range validation
** File type and file size checks
** Atomic transactions (rollback on validation failure)
* Ensure backend errors *prevent entity creation*
* Treat frontend validation as *UX only*, not a security control"
Improper File Type Validation in AI Knowledgebase Upload & Loan Attachments,Bug,Security,"h2. Improper File Type Validation in AI Knowledgebase Upload

*Severity:* High
*Priority:* High
*CVSS Score:* 7.4
*Vector:* CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:N

----

h2. Description

It was observed that the administrative AI chatbot configuration module allows uploading knowledgebase files with a {{.txt}} extension; however, the file validation logic relies solely on *client-side or superficial filename checks*.

During testing, a file named {{test.js.txt}} was successfully uploaded through the UI and accepted by the system as a valid knowledgebase file. This indicates that the application does not enforce *strict server-side validation* of file type, content, or MIME type.

In the context of an AI knowledgebase ingestion pipeline, allowing files with disguised or compound extensions significantly increases risk. Such files may contain executable code, scripts, or payloads that—depending on downstream processing—could lead to code execution, prompt manipulation, data exfiltration, or poisoning of AI responses.

----

h2. Impact

* *AI Knowledgebase Poisoning:*
Malicious content embedded in disguised files may alter chatbot behavior, responses, or decision logic.
* *Indirect Code Execution Risk:*
If uploaded files are parsed, transformed, indexed, or executed by backend services, disguised scripts may lead to server-side execution.
* *Stored Malicious Payloads:*
Uploaded content may later be rendered, processed, or exported, enabling stored XSS or script execution in other contexts.
* *Expanded Attack Surface:*
Admin-level file uploads increase blast radius if validation controls are weak.

----

h2. Steps to Reproduce

# Log in to the admin panel with permissions to manage AI knowledgebase files.
# Navigate to the AI chatbot configuration or knowledgebase upload module.
# Create a file named {{test.js.txt}} containing JavaScript or non-text content.
# Upload the file via the UI.
# Observe that the file is accepted and added to the knowledgebase despite being a disguised script file.

----

h2. Root Cause

* File validation is based on filename extension only.
* No strict server-side MIME type validation.
* No content-based validation to ensure files contain only expected plain text.
* Absence of normalization checks for double or misleading extensions.

----

h2. Solution

Implement *defense-in-depth file validation*:

* Enforce *server-side validation only* (do not rely on frontend checks).
* Validate:
** MIME type ({{text/plain}})
** Content encoding (reject binary or script-like content)
* Reject files with:
** Multiple extensions
** Known executable/script indicators (e.g., {{<script>}}, {{function()}}, {{eval}}, shebangs)
* Normalize filenames before validation.
* Store uploaded files outside the web root.
* Apply strict size limits and scanning where feasible.

For AI ingestion specifically:

* Sanitize content before indexing or inference.
* Log and monitor all knowledgebase uploads.

----

h2. CWE-ID

* *CWE-434:* Unrestricted File Upload
* *CWE-20:* Improper Input Validation

----

h2. OWASP Top 10 (Web 2025)

* *A03 – Injection*
Malicious input introduced via file upload may influence downstream processing, AI behavior, or execution paths."
Upgrade minSDK 28-->29,Bug,Security,"For both the applications application can be installed on an older version of android that has multiple vulnerabilities. Support an Android version => 10, API 29 to receive reasonable security updates."
Application Vulnerable to Clickjacking ,Bug,Security,"h2. Application Vulnerable to Clickjacking 

*Severity:* Medium
*Priority:* High
*CVSS Score:* 6.1
*Vector:* CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N

----

h2. Description

It was observed that the web application does not implement adequate frame protection mechanisms to prevent the application from being embedded within an iframe on a malicious domain.

Due to the absence of security headers such as {{X-Frame-Options}} and/or an appropriate {{Content-Security-Policy (frame-ancestors)}} directive, attackers can load sensitive application pages inside transparent or disguised iframes. This allows attackers to trick authenticated users into performing unintended actions by interacting with overlaid or hidden UI elements.

In the context of authenticated or administrative interfaces, this increases the risk of unauthorized actions being executed under the victim’s session.

----

h2. Impact

* *Unauthorized User Actions:*
Attackers may trick users into clicking buttons or links that perform sensitive actions (e.g., configuration changes, submissions).
* *Privilege Abuse:*
If an authenticated admin user is targeted, administrative actions could be performed without the user’s awareness.
* *UI Redressing Attacks:*
Legitimate application content can be visually manipulated to mislead users into trusting malicious pages.
* *Trust and Reputation Risk:*
Successful clickjacking attacks undermine user trust in the platform.

----

h2. Steps to Reproduce

# Create a malicious HTML page that embeds the target application within an iframe.
# Load the page in a browser.
# Observe that the application renders successfully inside the iframe.
# Overlay UI elements to induce user interaction.
# Perform actions on behalf of the authenticated user.

----

h2. Root Cause

* Missing or improperly configured frame protection headers.
* No enforcement of browser-level restrictions preventing framing by untrusted origins.

----

h2. Solution

* Implement one of the following (recommended to use both where possible):
** *X-Frame-Options* header:
{noformat}X-Frame-Options: DENY
{noformat}
or
{noformat}X-Frame-Options: SAMEORIGIN
{noformat}
** *Content-Security-Policy* with {{frame-ancestors}}:
{noformat}Content-Security-Policy: frame-ancestors 'none';
{noformat}
or restrict to trusted domains as required.
* Apply these headers consistently across all sensitive endpoints, especially authentication and administrative pages.
* Validate that no critical functionality relies on iframe embedding before enforcing strict policies.

----

h2. CWE-ID

* *CWE-1021:* Improper Restriction of Rendered UI Layers or Frames

----

h2. OWASP Top 10 (Web 2025)

* *A01 – Broken Access Control*
Insufficient UI-level controls allow attackers to manipulate user interaction flows and trigger unauthorized actions."
Deactivated Administrative Accounts Retain Active Sessions,Bug,Security,"h2. Deactivated Administrative Accounts Retain Active Sessions

*Severity:* High
*Priority:* Critical
*CVSS Score:* 8.1
*Vector:* CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:L

----

h2. Description

It was observed that when an administrative user account is deactivated via the admin panel, any *already authenticated sessions for that user remain active* until the access token naturally expires.

The application relies on *JWT-based access tokens and refresh tokens* for authentication and authorization. However, the current authorization logic does not enforce *real-time user status validation* (e.g., active/inactive) on each authenticated request.

As a result, a deactivated admin user can continue to access protected administrative APIs and perform privileged actions as long as their access token remains valid. In environments where access tokens have extended validity periods, this creates a critical authorization gap.

This behavior violates the principle that *authorization decisions must reflect current user state*, especially for privileged roles.

----

h2. Impact

* *Unauthorized Administrative Access:*
Deactivated admin users may continue performing sensitive operations such as configuration changes, user management, or data access.
* *Insider Threat Exposure:*
An account intentionally disabled due to suspicion, policy violation, or role change may still operate during the token validity window.
* *Compliance and Audit Failure:*
From an audit perspective, allowing access after deactivation is indefensible and contradicts access revocation requirements in regulated environments.
* *Incident Response Weakness:*
Account deactivation is commonly used as an emergency containment control. Delayed enforcement reduces its effectiveness.

----

h2. Steps to Reproduce

# Log in to the admin panel using a valid admin account.
# Obtain a valid access token.
# From another admin or super-admin account, deactivate the first admin account.
# Continue sending authenticated API requests using the previously issued access token.
# Observe that the requests are still processed successfully until token expiry.

----

h2. Root Cause

* Authorization logic relies solely on JWT validity and signature verification.
* No backend validation is performed to check *current user status (active/inactive)* on authenticated requests.
* No mechanism exists to invalidate or override issued tokens upon account state changes.

----

h2. Solution (Feasible With Current JWT-Based Implementation)

*Immediate mitigation can be implemented without migrating to session-based authentication.*

h3. Option 1: Enforce User Status Validation on Every Request (Minimum Required)

* On each authenticated API request:
** Extract {{userId}} from the JWT.
** Fetch user state from the database or cache.
** Reject the request if {{isActive = false}}.

This ensures deactivation is enforced immediately, regardless of token expiry.

----

h3. Option 2: Token Versioning (Recommended)

* Maintain a {{token_version}} (or {{auth_version}}) field per user.
* Embed this value into the JWT at issuance.
* On account deactivation:
** Increment {{token_version}}.
* During request validation:
** Compare token version with the current user version.
** Reject mismatched tokens.

This provides *instant global logout* without maintaining server-side sessions.

----

h3. Option 3: Refresh Token Revocation on Deactivation

* Upon deactivation:
** Revoke all refresh tokens for the user.
* Even if access tokens remain valid briefly, no new access tokens can be issued.

This should be used *in combination with Option 1*, not as a standalone control.

----

h2. Security Recommendation

For administrative and privileged roles:

* Account deactivation must *immediately revoke effective access*, regardless of token lifetime.
* Token expiry should limit exposure, *not define authorization state*.
* Authorization checks must reflect real-time user status.

----

h2. CWE-ID

* *CWE-285:* Improper Authorization
* *CWE-613:* Insufficient Session Expiration

----

h2. OWASP Top 10 (Web 2025)

* *A01 – Broken Access Control*
Access control decisions do not account for real-time authorization state changes such as account deactivation."
Backend Allows Assignment of Deactivated Roles During User Creation,Bug,Security,"*Backend Allows Assignment of Deactivated Roles During User Creation*

*Severity:* High
*Priority:* High
*CVSS Score:* 8.0
*Vector:* CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N

*Description*

It was observed that when a role is deactivated from the administrative panel, it is correctly removed from the frontend role selection dropdown. However, the backend API responsible for user creation and role assignment does not enforce the same restriction.

By directly manipulating the API request payload, an attacker or privileged user can assign a *deactivated role* to a newly created user. The backend accepts the request without validating whether the specified role is currently active.

This behavior indicates that role enforcement is being performed only at the client side, while the backend trusts the incoming role identifier without verifying its current status.

----

*Impact*

* *Authorization Bypass:* Users can be created with roles that were intentionally disabled by administrators.
* *Privilege Misuse:* Deactivated or restricted roles may still grant access to sensitive features or data.
* *Policy Circumvention:* Administrative decisions to disable roles are not effectively enforced.
* *Inconsistent Access Control:* Frontend and backend authorization logic become misaligned.
* *Audit & Compliance Risk:* Role lifecycle controls cannot be reliably enforced or demonstrated.

----

*Steps to Reproduce*

# Log in to the admin panel with sufficient privileges.
# Deactivate an existing role from the role management section.
# Confirm that the deactivated role no longer appears in the frontend role selection dropdown.
# Intercept the user creation API request.
# Manually modify the request payload to include the identifier of the deactivated role.
# Send the modified request.
# Observe that the user is successfully created with the deactivated role.

----

*Root Cause*

* Backend APIs do not validate the active/inactive status of roles during user creation or role assignment.
* Authorization and validation logic is enforced primarily at the frontend level.
* Lack of server-side enforcement of role lifecycle constraints.

----

*Solution*

* Enforce role status validation at the backend before assigning any role to a user.
* Reject API requests that attempt to assign inactive or deactivated roles.
* Ensure frontend restrictions are mirrored with backend authorization checks.
* Implement centralized role validation logic to prevent inconsistent enforcement.
* Log and monitor attempts to assign invalid or inactive roles for security visibility.

----

*CWE-ID*

* *CWE-284:* Improper Access Control
* *CWE-602:* Client-Side Enforcement of Security

----

*OWASP Top 10 (Web 2025)*

*A01:2025 – Broken Access Control*
Failure to enforce role validity at the backend allows unauthorized role assignment and undermines access control mechanisms."
Use of Shared Default Password for Newly Created Administrative Accounts,Bug,Security,"*Use of Shared Default Password for Newly Created Administrative Accounts*

*Severity:* High
*Priority:* High
*CVSS Score:* 7.9
*Vector:* CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N

----

h3. Description

It was observed that when a Super Admin creates a new administrative user, the account is provisioned with a *single common default password* shared across all newly created admin accounts. The newly created admin is expected to log in using this password and reset it manually upon first access.

This design introduces a systemic security risk in production environments, particularly for an *insurance claim support and inquiry admin panel*, where administrative accounts have access to sensitive customer, financial, and operational data.

A shared default password significantly increases the attack surface. If the password is exposed at any point—through offline sharing, screenshots, logs, insider access, or operational error—multiple administrative accounts may be compromised simultaneously until each user changes their password.

The reliance on “change password on first login” does not sufficiently mitigate this risk, as real-world operational delays can extend the exposure window.

----

h3. Impact

* *Mass Administrative Account Compromise:* A single leaked default password can grant access to multiple admin accounts.
* *Privilege Abuse:* Attackers may gain high-level access before passwords are changed.
* *Loss of Accountability:* Multiple users temporarily share the same credentials, weakening traceability.
* *Operational Risk:* Delayed first login increases exposure time in production.
* *Compliance Risk:* Shared credentials violate standard security and audit best practices.

----

h3. Steps to Reproduce

# Log in as Super Admin.
# Create a new administrative user.
# Observe that the account is assigned a predefined common password.
# Create another administrative user.
# Observe that the same password is reused.
# Log in using the shared password before the user resets it.

----

h3. Root Cause

* Use of a static, shared default password for admin onboarding.
* Absence of a secure credential distribution or one-time password mechanism.
* Design prioritizes operational convenience over credential isolation.

----

h3. Solution

* Generate a *unique, system-generated password per admin account*.
* Enforce *mandatory password change on first login*.
* Set *short expiry* for the initial password (e.g., 24 hours).
* Prevent reuse of initial passwords.
* Log first-login password reset events for audit purposes.
* For password recovery, issue *one-time reset credentials* instead of sharing static passwords.

----

h3. CWE-ID

* *CWE-521:* Weak Password Requirements
* *CWE-798:* Use of Hard-coded Credentials

----

h3. OWASP Top 10 (Web 2025)

*A02:2025 – Authentication Failures*
Shared or static credentials weaken authentication controls and increase the likelihood and impact of administrative account compromise."
Missing Anti-CSRF Protection on State-Changing API Endpoints,Bug,Security,"*Missing Anti-CSRF Protection on State-Changing API Endpoints*

*Severity:* Medium
*Priority:* Medium
*CVSS Score:* 6.4
*Vector:* CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:H/A:N

----

h3. Description

It was observed that multiple *state-changing API endpoints* do not implement Anti-CSRF (Cross-Site Request Forgery) protection. Requests that modify application state—such as create, update, or delete operations—can be executed without the presence of a CSRF token or equivalent validation mechanism.

When authentication is handled using *cookies* (including access and refresh tokens stored in cookies), browsers automatically attach these cookies to cross-origin requests. In the absence of Anti-CSRF controls, a malicious website can induce an authenticated user to unknowingly trigger unauthorized actions on the application.

Although role-based access control is enforced, it does not mitigate CSRF attacks, as such attacks abuse the victim’s authenticated browser context rather than bypassing authorization logic.

----

h3. Impact

* *Unauthorized State Changes:* Attackers can perform actions on behalf of authenticated users.
* *Administrative Abuse:* Privileged actions may be executed without user awareness.
* *Data Integrity Risks:* Records may be modified or deleted unintentionally.
* *Business Logic Abuse:* Workflow manipulation without direct authentication compromise.

----

h3. Steps to Reproduce

# Authenticate to the application in a browser.
# Craft a malicious HTML page that submits a POST/PUT/PATCH/DELETE request to a state-changing API endpoint.
# Visit the malicious page while authenticated.
# Observe that the request is processed successfully without any CSRF token validation.

----

h3. Root Cause

* Missing Anti-CSRF tokens or equivalent protections on state-changing endpoints.
* Reliance on cookie-based authentication without compensating CSRF defenses.
* CSRF threat model not fully considered during API design.

----

h3. Solution

* Implement Anti-CSRF tokens for all state-changing requests.
* Validate CSRF tokens server-side for POST, PUT, PATCH, and DELETE endpoints.
* Use SameSite cookies ({{SameSite=Strict}} or {{Lax}}) as a defense-in-depth measure.
* Prefer double-submit cookie or synchronizer token patterns.
* Ensure CSRF tokens are rotated and bound to user sessions.

----

h3. CWE-ID

* *CWE-352:* Cross-Site Request Forgery (CSRF)

----

h3. OWASP Top 10 (Web 2025)

*A01:2025 – Access Control Vulnerabilities*
Failure to protect state-changing actions allows attackers to abuse authenticated user sessions and perform unauthorized operations."
Long-Lived Authentication Tokens Without Refresh Token Reuse Detection,Bug,Security,"*Long-Lived Authentication Tokens Without Refresh Token Reuse Detection*

*Severity:* Highest
*Priority:* Critical
*CVSS Score:* 9.1
*Vector:* CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N

----

h3. Description

It was observed that the application implements long-lived authentication tokens without any mechanism to detect or prevent *refresh token reuse*. Currently, access tokens remain valid for *24 hours*, while refresh tokens remain valid for *7 days*, and the system does not track whether a refresh token is being used concurrently or from multiple sessions.

In the event of token compromise—whether through XSS, malware, insider threat, or endpoint leakage—both the access token and refresh token can be exfiltrated together. Since refresh token reuse is not monitored or invalidated, an attacker can continuously generate new access tokens in parallel with the legitimate user for the entire refresh token validity window.

Because the system relies on *stateless JWT-based authentication*, there is no server-side awareness of token reuse, session duplication, or anomalous refresh behavior. This results in silent, persistent account takeover with no detection or containment.

The risk is especially critical for an *insurance admin panel*, where compromised administrative access can directly impact claims, payouts, customer data, and regulatory obligations.

----

h3. Impact

* *Silent Account Takeover:* Attackers can maintain long-term access without alerting the user.
* *Persistent Compromise:* Stolen refresh tokens allow continuous access until expiry.
* *Concurrent Session Abuse:* Legitimate users and attackers can operate simultaneously.
* *Administrative Abuse:* High-privilege accounts can be compromised with no visibility.
* *Incident Detection Failure:* No reliable way to identify token replay or misuse.

----

h3. Steps to Reproduce

# Authenticate to the application and capture the access and refresh tokens.
# Import both tokens into a different browser or system.
# Use the refresh token to obtain new access tokens repeatedly.
# Observe that:
#* Both sessions remain valid
#* No invalidation occurs
#* No alerts or logs indicate token reuse

----

h3. Root Cause

* Long access token lifetime (24 hours).
* Long refresh token lifetime (7 days).
* Stateless JWT authentication without server-side token tracking.
* Absence of refresh token rotation or reuse detection logic.

----

h3. Solution

* Reduce access token lifetime (e.g., 10–15 minutes).
* Implement *refresh token rotation*:
** Issue a new refresh token on every refresh.
** Invalidate the previous refresh token immediately.
* Maintain minimal server-side state to track refresh token identifiers (e.g., {{jti}}).
* Detect and invalidate sessions when refresh token reuse is identified.
* Provide users/admins with visibility into active sessions and allow revocation.
* Log and alert on suspicious token refresh behavior.

{quote}*Note:* This does not require migrating fully to session-based authentication; lightweight token state tracking is sufficient.{quote}

----

h3. CWE-ID

* *CWE-613:* Insufficient Session Expiration
* *CWE-384:* Session Fixation

----

h3. OWASP Top 10 (Web 2025)

*A02:2025 – Authentication Failures*
Improper lifecycle management of authentication tokens enables persistent, undetected account compromise."
Missing Concurrent Login Notification for User and Administrative Accounts,Bug,Security,"*Missing Concurrent Login Notification for User and Administrative Accounts*

*Severity:* High
*Priority:* High
*CVSS Score:* 7.6
*Vector:* CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N

----

h3. Description

It was observed that the application does not notify users or administrative account holders when their account is accessed concurrently from multiple sessions or new devices. Multiple active logins can occur in parallel without any alert or visibility to the legitimate account owner.

In an *insurance claim support and inquiry admin panel*, concurrent access without notification significantly increases the risk of undetected account compromise. If an attacker gains access to valid credentials, they can operate alongside the legitimate user without triggering any warning.

Concurrent login notifications act as an early detection control, allowing users to recognize unauthorized access and respond promptly.

----

h3. Impact

* *Silent Account Compromise:* Attackers can maintain parallel access without detection.
* *Delayed Incident Response:* Users remain unaware of suspicious activity.
* *Extended Attacker Persistence:* Compromised sessions may remain active for long durations.
* *Regulatory and Audit Risk:* Lack of user-facing security alerts weakens monitoring posture.
* *Increased Damage Scope:* Unauthorized actions may be performed unnoticed.

----

h3. Steps to Reproduce

# Log in to the application from one browser or device.
# Log in again using the same account from a different browser or device.
# Observe that both sessions remain active.
# Observe that no notification or alert is sent to the account owner.

----

h3. Root Cause

* Session management design does not monitor or evaluate concurrent authentication events.
* Absence of security-event alerting for new or parallel logins.
* Authentication logic focuses on access enablement rather than detection.

----

h3. Solution

* Notify users and admins when:
** A new login occurs from a different device, browser, or location.
** Concurrent sessions are detected.
* Include basic context (timestamp, device type, IP/geolocation).
* Provide an option to review and terminate active sessions.
* Log all login events for security monitoring and audit purposes.
* Apply stricter controls for administrative accounts.

----

h3. CWE-ID

* *CWE-778:* Insufficient Logging

----

h3. OWASP Top 10 (Web 2025)

*A09:2025 – Security Logging and Alerting Failures*
Failure to alert users of concurrent or anomalous authentication activity prevents timely detection of account compromise."
Missing Password Reset Notification for User and Administrative Accounts,Bug,Security,"*Missing Password Reset Notification for User and Administrative Accounts*

*Severity:* High
*Priority:* High
*CVSS Score:* 7.8
*Vector:* CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N

----

h3. Description

It was observed that the application does not notify users or administrative account holders when a password reset event occurs for their account. Password changes—whether initiated by the user, an administrator, or through recovery mechanisms—are applied silently without generating any alert or notification.

In the context of an *insurance claim support and inquiry admin panel*, silent password resets represent a significant security risk. If an attacker or malicious insider resets an account password, the legitimate account owner remains unaware of the change until access is lost or suspicious activity is noticed.

Password reset notifications are a critical detection and response control that enables early identification of account compromise and unauthorized administrative actions.

----

h3. Impact

* *Undetected Account Takeover:* Legitimate users are unaware of unauthorized password changes.
* *Delayed Incident Response:* Compromise may persist unnoticed for extended periods.
* *Administrative Abuse:* Malicious resets by insiders cannot be quickly identified.
* *Operational Disruption:* Sudden loss of access without explanation affects business continuity.
* *Audit and Compliance Gaps:* Lack of user notifications weakens security governance.

----

h3. Steps to Reproduce

# Reset the password of a user or admin account (via admin action or recovery flow).
# Log in successfully using the new password.
# Observe that no email, in-app alert, or system notification is sent to the account owner.

----

h3. Root Cause

* Password reset workflow does not trigger notification events.
* Lack of security-event communication design for authentication changes.
* Focus on functionality without incorporating detection and alerting controls.

----

h3. Solution

* Send immediate notifications to users and admins upon:
** Password reset
** Password change
* Use secure communication channels (email and/or in-app notifications).
* Include contextual details such as timestamp and originating IP (without exposing sensitive data).
* Provide clear instructions for reporting unauthorized changes.
* Log all password reset events for audit and investigation.

----

h3. CWE-ID

* *CWE-778:* Insufficient Logging
* *CWE-223:* Omission of Security-relevant Information

----

h3. OWASP Top 10 (Web 2025)

*A09:2025 – Security Logging and Alerting Failures*
Failure to notify users of critical authentication changes prevents timely detection and response to account compromise."
